,instance_date,actual_worth,row_status_code,property_type_en,property_sub_type_en,area_name_en,actual_area,worth_per_sqft
681,08/29/2012,63056.80082433784,Completed,Unit,Office,Burj Khalifa,75.78,832.1034682546561
688,09/13/2012,51929.13009063117,Completed,Unit,Office,Al Thanyah Fifth,102.54,506.428028970462
689,09/16/2012,63939.59603587858,Completed,Unit,Office,Burj Khalifa,94.2,678.7642891282227
690,09/16/2012,72912.20787082407,Completed,Unit,Flat,Burj Khalifa,91.23,799.2130644615156
691,09/26/2012,74184.47155804452,Completed,Unit,Flat,Marsa Dubai,123.28,601.7559341178173
692,09/27/2012,118695.15449287125,Completed,Unit,Flat,Burj Khalifa,123.27,962.8876003315588
693,09/27/2012,140950.4959602846,Completed,Unit,Flat,Palm Jumeirah,147.36,956.5044514134405
696,10/14/2012,89021.36586965344,Completed,Unit,Flat,Marsa Dubai,123.47,720.9959169810759
697,10/14/2012,51929.13009063117,Completed,Unit,Office,Al Thanyah Fifth,97.52,532.4972322665215
698,10/14/2012,59347.57724643563,Completed,Unit,Flat,Marsa Dubai,77.9,761.8430968733712
699,10/17/2012,46216.92578066174,Completed,Unit,Flat,Jabal Ali,89.0,519.2913009063117
700,10/18/2012,360536.5317720964,Completed,Unit,Flat,Palm Jumeirah,376.58,957.3969190400351
701,10/22/2012,133532.04880448015,Completed,Unit,Flat,Burj Khalifa,153.01,872.701449607739
702,10/22/2012,133532.04880448015,Completed,Unit,Flat,Marsa Dubai,144.28,925.506298894373
703,10/22/2012,27448.254476476475,Completed,Unit,Flat,Wadi Al Safa 5,52.92,518.674498799631
704,10/22/2012,315284.00412168924,Completed,Unit,Flat,Burj Khalifa,172.99,1822.5562409485474
712,11/20/2012,57863.887815274735,Completed,Unit,Flat,Al Thanyah Third,69.86,828.2835358613618
713,11/21/2012,100890.88131894056,Completed,Unit,Office,Al Thanyah Fifth,128.22,786.8575988062748
714,11/25/2012,63056.80082433784,Completed,Unit,Flat,Burj Khalifa,84.54,745.8812494007315
715,11/25/2012,81602.91871384898,Completed,Unit,Flat,Marsa Dubai,93.09,876.6024139418732
716,11/26/2012,59347.57724643563,Completed,Unit,Flat,Wadi Al Safa 5,98.73,601.1098677852286
717,11/26/2012,118695.15449287125,Completed,Unit,Flat,Marsa Dubai,133.7,887.7722849130237
718,11/28/2012,84347.74416149664,Completed,Unit,Flat,Marsa Dubai,100.71,837.5309717157844
